"iso3";"country_name";"Life.expec";"Life.expec.f";"Life.expec.m";"le.fm";"Inf.Mort.rat";"Agric.employ.%"
"KGZ";"Kyrgyzstan";71,1;75,1;67,1;8;18,8;26,7
"LAO";"Lao People's Democratic Republic";67;68,6;65,4;3,19999999999999;48,9;61,3
"LVA";"Latvia";74,7;79,4;69,7;9,7;3,9;7,5
"LBN";"Lebanon";79,8;81,6;78,2;3,39999999999999;6,9;3,2
"LSO";"Lesotho";54,6;56,7;52,2;4,5;72,4;10,4
"LBR";"Liberia";63;64;62;2;51,2;43
"LBY";"Libya";72,1;75,1;69,3;5,8;11;12,4
"LTU";"Lithuania";74,8;80;69,4;10,6;4,3;7,8
"LUX";"Luxembourg";82;84,1;79,8;4,3;2;1
"MDG";"Madagascar";66,3;67,9;64,7;3,2;34;74,4
"MWI";"Malawi";63,7;66,2;61;5,2;38,9;84,7
"MYS";"Malaysia";75,5;77,9;73,3;4,60000000000001;7,1;11
"MDV";"Maldives";77,6;78,8;76,7;2,09999999999999;7,3;7,5
"MLI";"Mali";58,5;59,2;57,7;1,5;68;57,6
"MLT";"Malta";81;82,6;79,4;3,19999999999999;5,9;1,3
"MRT";"Mauritania";63,4;64,9;61,9;3,00000000000001;54,4;75,9
"MUS";"Mauritius";74,9;78,4;71,4;7;12,2;7,3
"MEX";"Mexico";77,3;79,7;74,9;4,8;12,6;13,1
"MDA";"Moldova (Republic of)";71,7;76;67,4;8,59999999999999;13,7;33,3
"MNG";"Mongolia";69,5;73,7;65,4;8,3;15,4;30,4
"MNE";"Montenegro";77,3;79,6;74,9;4,69999999999999;3,5;7,6
"MAR";"Morocco";76,1;77,2;74,9;2,3;23,3;37,5
"MOZ";"Mozambique";58,9;61;56,7;4,3;53,1;73,3
"MMR";"Myanmar";66,7;69,1;64,4;4,69999999999999;40,1;49,9
"NAM";"Namibia";64,8;67,7;61,8;5,90000000000001;32,3;20,2
"NPL";"Nepal";70,6;72,2;69;3,2;28,4;71,7
"NLD";"Netherlands";82;83,7;80,3;3,40000000000001;3,2;2,2
"NZL";"New Zealand";82;83,7;80,4;3,3;4,5;6,6
"NIC";"Nicaragua";75,7;78,6;72,6;6;16,8;29,4
"NER";"Niger";60,4;61,5;59,4;2,1;50,9;75,6
"NGA";"Nigeria";53,9;54,7;53,1;1,6;66,9;36,6
"NOR";"Norway";82,3;84,2;80,5;3,7;2,1;2,1
"OMN";"Oman";77,3;79,7;75,6;4,10000000000001;9,2;6,5
"PAK";"Pakistan";66,6;67,7;65,6;2,10000000000001;64,2;42
"PSE";"Palestine, State of";73,6;75,6;71,8;3,8;16,6;9,6
"PAN";"Panama";78,2;81,3;75,3;6;14,1;15,1
"PNG";"Papua New Guinea";65,7;68,3;63,3;5;42,4;20,6
"PRY";"Paraguay";73,2;75,5;71,1;4,40000000000001;17;21,2
"PER";"Peru";75,2;77,9;72,6;5,30000000000001;11,9;28,4
"PHL";"Philippines";69,2;72,8;65,9;6,89999999999999;21,5;26
"POL";"Poland";77,8;81,6;73,9;7,69999999999999;4;10,6
"PRT";"Portugal";81,4;84,2;78,4;5,8;2,9;6,8
"QAT";"Qatar";78,3;80;77,6;2,40000000000001;7,3;1,3
"ROU";"Romania";75,6;79;72,1;6,90000000000001;7,7;22,9
"RUS";"Russian Federation";71,2;76,8;65,6;11,2;6,6;6,7
"RWA";"Rwanda";67,5;69,6;65,3;4,3;29,2;66,5
"LCA";"Saint Lucia";75,7;78,4;73;5,40000000000001;11,8;15,3
"VCT";"Saint Vincent and the Grenadines";73,3;75,6;71,2;4,39999999999999;15,2;6,2
"WSM";"Samoa";75,2;78,5;72,3;6,2;14,8;5,8
"STP";"Sao Tome and Principe";66,8;68,9;64,6;4,30000000000001;26,2;17,1
"SAU";"Saudi Arabia";74,7;76,5;73,4;3,09999999999999;11,1;6,3
"SEN";"Senegal";67,5;69,4;65,4;4;33,6;53,4
"SRB";"Serbia";75,3;78,2;72,5;5,7;5,1;19
"SLE";"Sierra Leone";52,2;52,8;51,6;1,2;83,3;60,6
"SGP";"Singapore";83,2;85,2;81,1;4,10000000000001;2,2;0,1
"SVK";"Slovakia";77;80,4;73,4;7;4,9;2,9
"SVN";"Slovenia";81,1;83,9;78,3;5,60000000000001;1,8;4,9
"SLB";"Solomon Islands";71;72,6;69,5;3,09999999999999;21,8;69,6
"ZAF";"South Africa";63,4;67;59,9;7,1;34,2;5,6
"SSD";"South Sudan";57,3;58,3;56,3;2;59,2;64,9
"ESP";"Spain";83,3;86;80,5;5,5;2,7;4,1
"LKA";"Sri Lanka";75,5;78,8;72,1;6,7;8;26,7
"SDN";"Sudan";64,7;66,3;63,1;3,2;44,8;53,3
"SUR";"Suriname";71,5;74,9;68,4;6,5;17,8;2,7
"SWE";"Sweden";82,6;84,3;80,9;3,39999999999999;2,4;1,9
"CHE";"Switzerland";83,5;85,3;81,5;3,8;3,6;3,5
"SYR";"Syrian Arab Republic";71;77,4;65,4;12;14,2;22,9
"TJK";"Tajikistan";71,2;74,4;68,4;6;37,1;51,6
"TZA";"Tanzania (United Republic of)";66,3;68,1;64,6;3,5;40,3;66,7
"THA";"Thailand";75,5;79,3;71,8;7,5;10,5;32,8
"MKD";"The former Yugoslav Republic of Macedonia";75,9;77,9;73,8;4,10000000000001;10,7;16,4
"TLS";"Timor-Leste";69,2;71,1;67,4;3,69999999999999;42,4;25
"TGO";"Togo";60,5;61,3;59,6;1,7;50,7;37,8
"TON";"Tonga";73,2;76,2;70,2;6;14,1;31,7
"TTO";"Trinidad and Tobago";70,8;74,4;67,4;7;16,5;3,7
"TUN";"Tunisia";75,9;78;73,9;4,09999999999999;11,7;13,7
"TUR";"Turkey";76;79,2;72,8;6,40000000000001;10,9;19,4
"TKM";"Turkmenistan";68;71,4;64,5;6,90000000000001;43,4;8,2
"UGA";"Uganda";60,2;62,4;58;4,4;37,7;69
"UKR";"Ukraine";72,1;76,9;67,1;9,80000000000001;7,8;14,9
"ARE";"United Arab Emirates";77,4;78,9;76,7;2,2;6,6;0,4
"GBR";"United Kingdom";81,7;83,4;79,9;3,5;3,7;1,1
"USA";"United States";79,5;81,8;77,3;4,5;5,6;1,7
"URY";"Uruguay";77,6;81;74;7;7,9;8,2
"UZB";"Uzbekistan";71,4;74,2;68,6;5,60000000000001;21,4;21,9
"VUT";"Vanuatu";72,3;74,7;70,2;4,5;23,1;64,9
"VEN";"Venezuela (Bolivarian Republic of)";74,7;78,9;70,8;8,10000000000001;14;10,2
"VNM";"Viet Nam";76,5;81;71,8;9,2;17,3;40,9
"YEM";"Yemen";65,2;66,6;63,7;2,89999999999999;43,2;44,5
"ZMB";"Zambia";62,3;65;59,6;5,4;43,8;53,3
"ZWE";"Zimbabwe";61,7;63,5;59,8;3,7;40;68,5
"PRK";"Korea (Democratic People's Rep. of)";71,9;75,3;68,3;7;15,1;67,1
"SOM";"Somalia";56,7;58,4;55,1;3,3;82,6;86,2
